Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Letter Type
05/21/2019,05/09/2019,Rechargeable Power Energy North America LLC,Division of Medical Device and Radiological Health Operations West (MDRHW),CGMP/QSR/Medical Devices/Adulterated,Warning Letter
05/21/2019,05/13/2019,"Orchid Orthopedic Solutions, LLC",Center for Devices and Radiological Health,"CGMP/QSR/Medical Devices/Adulterated, Orchid Orthopedic Solutions, LLC",Warning Letter
05/14/2019,03/04/2019,Stash E-Liquids,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/14/2019,04/26/2019,"N2G2, LLC d/b/a Lavoo Tobacco",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/14/2019,05/02/2019,"U.S. Continental Marketing, Inc.",Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
05/14/2019,05/02/2019,Kadesh International,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
05/14/2019,05/02/2019,Bershtel Enterprises LLC dba WePackItAll,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
05/14/2019,05/02/2019,Fill It Pack It Inc,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
05/14/2019,05/07/2019,Petra Hygienic Systems Int Ltd,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
05/07/2019,04/23/2019,Laboratoires Clarins,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
05/07/2019,04/26/2019,The Vape Shack 808 LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/07/2019,04/29/2019,Golean Detox US,Division of Pharmaceutical Quality Operations II,Unapproved New Drugs/Misbranded,Warning Letter
05/07/2019,04/30/2019,Joseph Anderson d/b/a Smokin Joes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
04/30/2019,03/08/2019,"Campolor, Inc.",Center for Food Safety and Applied Nutrition,Acidified Foods/Adulterated,Warning Letter
04/30/2019,03/26/2019,"Winder Laboratories, LLC",Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
04/30/2019,04/03/2019,"Texas Aloe Corporation, Inc.",Division of Human and Animal Food Operations West III,Unapproved New Drugs/Misbranded,Warning Letter
04/30/2019,04/05/2019,"Nationwide Laboratories, LLC",Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
04/30/2019,04/10/2019,Goldstar Distribution,Center for Food Safety and Applied Nutrition,Dietary Supplement/Adulterated,Warning Letter
04/30/2019,04/10/2019,A1 Top World Products LLC,Division of Human and Animal Food Operations West V,Dietary Supplement/Adulterated,Warning Letter
04/30/2019,04/11/2019,James D. Hudson Livestock,Office of Human and Animal Food Operations-East V,Illegal Drug Residue,Warning Letter
04/30/2019,04/15/2019,"Surgisil, LLP",Office of Medical Device and Radiological Health Operations,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),Warning Letter
04/30/2019,04/18/2019,"Jessie Commodity Co., Ltd.",Center for Drug Evaluation and Research,Failure to Comply with Drug Listing Requirements/Misbranded,Warning Letter
04/30/2019,04/18/2019,ABC Compounding Company Inc,Center for Drug Evaluation and Research,Failure to Comply with Drug Listing Requirements/Misbranded,Warning Letter
04/30/2019,04/23/2019,"JBS Souderton, Inc. dba MOPAC",Division of Human and Animal Food Operations East II (HAFE2),CGMP/Food for Animals/Adulterated,Warning Letter
04/30/2019,04/23/2019,Newton Laboratories Inc DBA Newton Homeopathics,Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated/Misbranded,Warning Letter
04/26/2019,09/13/2017,"Cerreta Candy Company, Inc.",Division of Human and Animal Food Operations West IV,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",Warning Letter
04/23/2019,03/01/2019,Pescaderia Catano,Center for Food Safety and Applied Nutrition,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
04/23/2019,04/10/2019,"Empire Distributors, Inc.",Division of Pharmaceutical Quality Operations III,New Drug/Labeling/Misbranded,Warning Letter
04/23/2019,04/12/2019,Abaxis Inc,Office of Medical Device and Radiological Health Operations,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),Warning Letter
04/16/2019,03/26/2019,"ImprimisRx CA, Inc., dba ImprimisRx",Division of Pharmaceutical Quality Operations IV,"ImprimisRx CA, Inc., dba ImprimisRx, Compounding Pharmacy/Adulterated Drug Products",Warning Letter
04/16/2019,03/28/2019,RIJ Pharmaceutical LLC,Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
04/16/2019,04/02/2019,Kerry Inc.,,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
04/16/2019,04/04/2019,Luen Fook Medicine Sdn. Bhd.,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
04/16/2019,04/10/2019,Forbiddenlabz,Center for Food Safety & Applied Nutrition,Dietary Supplement/Adulterated,Warning Letter
04/16/2019,04/10/2019,eflow Nutrition LLC,Center for Food Safety & Applied Nutrition,Dietary Supplement/Adulterated,Warning Letter
04/16/2019,04/10/2019,"IQ Formulations, LLC / DBA Metabolic Nutrition Inc.",Center for Food Safety and Applied Nutrition,Dietary Supplement/Misbranded,Warning Letter
04/16/2019,04/10/2019,Hi Tech Pharmaceuticals,Center for Food Safety and Applied Nutrition,Dietary Supplement/Adulterated,Warning Letter
04/16/2019,04/10/2019,"Evol Nutrition Associates, Inc. d/b/a Red Dawn Energy",Center for Food Safety and Applied Nutrition,Dietary Supplement/Misbranded,Warning Letter
04/16/2019,04/10/2019,Atomixx,Center for Food Safety and Applied Nutrition,Dietary Supplement/Misbranded,Warning Letter
04/16/2019,04/10/2019,Iron Brothers,Center for Food Safety and Applied Nutrition,Dietary Supplement/Adulterated,Warning Letter
04/16/2019,04/10/2019,"Line One Nutrition, Inc",Center for Food Safety and Applied Nutrition,Dietary Supplement/Adulterated,Warning Letter
04/16/2019,04/10/2019,"NeuroScience Solutions, Inc. dba NeuroScience",Center for Food Safety and Applied Nutrition,Dietary Supplement/Misbranded,Warning Letter
04/16/2019,04/10/2019,"Down to Earth Solutions, LLC",Center for Food Safety and Applied Nutrition,Dietary Supplement/Adulterated,Warning Letter
04/16/2019,04/11/2019,Total Body Nutrition,Center for Food Safety & Applied Nutrition,Dietary Supplement/Adulterated,Warning Letter
04/10/2019,04/09/2019,"DC Laboratories Inc., d/b/a Dynamic Creations",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
04/09/2019,01/31/2019,Bimeda Incorporated,Center for Veterinary Medicine,Unapproved New Animal Drug/Adulterated,Warning Letter
04/09/2019,03/14/2019,"Marukyo Co., Ltd.",Center for Food Safety and Applied Nutrition,Acidified Foods/Emergency Permit Control/Adulterated/Misbranded,Warning Letter
04/09/2019,03/20/2019,"Infusion Partners, LLC",Division of Pharmaceutical Quality Operations III,Drug Product/Adulterated,Warning Letter
04/09/2019,03/20/2019,Apollo Care,Division of Pharmaceutical Quality Operations III,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
04/09/2019,03/27/2019,Catnip Cocktail,,New Animal Drug/Adulterated,Warning Letter
04/09/2019,03/29/2019,Lotus Vaping Technology LLC,,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
04/09/2019,03/29/2019,https://www.vapevandal.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
04/08/2019,10/05/2018,MannKind Corporation,Center for Drug Evaluation and Research,False & Misleading Claims/Misbranded,Warning Letter
04/08/2019,10/22/2018,Vanda Pharmaceuticals,Center for Drug Evaluation and Research,False & Misleading Claims/Misbranded,Warning Letter
04/04/2019,04/02/2019,EZ Fumes,,Family Smoking Prevention and Tobacco Control Act/False & Misleading Claims/Misbranded,Warning Letter
04/04/2019,04/02/2019,Undisputed Worldwide,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/False & Misleading Claims/Misbranded,Warning Letter
04/03/2019,03/29/2019,"Cord for Life, Inc.",Division of Biological Products Operations I,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",Warning Letter
04/03/2019,04/04/2019,Inova Genomics Laboratory,Center for Devices and Radiological Health,Premarket Approval/Misbranded/Adulterated,Warning Letter
04/02/2019,04/02/2019,Kilo E-Liquids Inc. d/b/a Kilo Distribution,Center for Tobacco Products,"Kilo E-Liquids Inc. d/b/a Kilo Distribution, Family Smoking Prevention and Tobacco Control Act/False & Misleading Claims/Misbranded",Warning Letter
04/02/2019,04/02/2019,E Cigarette Empire LLC,Center for Tobacco Products,"E Cigarette Empire LLC, Family Smoking Prevention and Tobacco Control Act/False & Misleading Claims/Misbranded",Warning Letter
04/02/2019,02/21/2019,Inopak Ltd,Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
04/02/2019,03/06/2019,Holy Cow Ejuice,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
04/02/2019,03/06/2019,Camelot E-Liquid,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
04/02/2019,03/18/2019,"Dong Yuan Technology Co., Ltd.",Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
04/02/2019,03/20/2019,Tec Laboratories Inc,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
04/02/2019,03/21/2019,B. Jain Pharmaceuticals Private Limited,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
04/02/2019,03/28/2019,"Advanced Spine and Pain, LLC",,Unapproved New Drugs/Misbranded,Warning Letter
04/02/2019,03/28/2019,Nutra Pure LLC,,Unapproved New Drugs/Misbranded,Warning Letter
04/02/2019,03/28/2019,"PotNetwork Holdings, Inc.",Center for Food Safety and Applied Nutrition,New Drug/Misbranded,Warning Letter
04/02/2019,03/27/2019,Thedonrx.net,,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,Warning Letter
04/02/2019,03/27/2019,Azmedicinalshop.com,,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,Warning Letter
04/01/2019,03/20/2019,Red Mountain Inc,Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
03/26/2019,03/06/2019,Indy E Cigs LLC,Center for Tobacco Products,"INDY E CIGS LLC, Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded",Warning Letter
03/26/2019,02/28/2019,"La Vita Compounding Pharmacy, LLC",Division of Pharmaceutical Quality Operations IV,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
03/26/2019,03/06/2019,Blacksmith ELiquid,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
03/26/2019,03/06/2019,"Thibiant International, Inc.",Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
03/26/2019,03/12/2019,"Uustar Corporation dba Daily Vita, LLC",Division of Human and Animal Food Operations East III,Unapproved New Drugs/Misbranded,Warning Letter
03/26/2019,03/13/2019,One Way Drug LLC dba Partell Specialty Pharmacy,Division of Pharmaceutical Quality Operations IV,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
03/26/2019,03/14/2019,"Mariposa Labs, LLC",Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
03/26/2019,03/15/2019,D’Andrea Foods Inc.,Division of Human and Animal Food Operations East I,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
03/26/2019,03/19/2019,IMedDo,Division of Human and Animal Food Operations East III,Unapproved New Drugs/Misbranded,Warning Letter
03/26/2019,03/20/2019,King Bio Inc.,Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
03/22/2019,03/20/2019,Firsttrustchemicals.com,,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,Warning Letter
03/19/2019,02/05/2019,LaMarquise Inc.,Division of Human and Animal Food Operations East V,"CGMP Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",Warning Letter
03/19/2019,02/28/2019,Anicare Pharmaceuticals Pvt Ltd.,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated/Misbranded,Warning Letter
03/19/2019,03/04/2019,"Alpha Feed Mill, Inc",Division of Human and Animal Food Operations East V,CGMP/Medicated Feeds/Adulterated,Warning Letter
03/19/2019,03/05/2019,Hanna's Herb Shop,Center for Food Safety and Applied Nutrition,New Drug/Misbranded,Warning Letter
03/19/2019,03/06/2019,United Exchange Corporation,,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
03/19/2019,03/06/2019,"TEI Biosciences, Inc.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
03/19/2019,03/06/2019,Jubilant Generics Limited,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
03/19/2019,03/06/2019,Cosmos Indian Store,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
03/19/2019,03/07/2019,"Flea Assassin, LLC",Division of Pharmaceutical Quality Operations II,New Animal Drug/Adulterated,Warning Letter
03/19/2019,03/11/2019,Nutra Pharma,Center for Drug Evaluation and Research,Unapproved New Drugs/Misbranded,Warning Letter
03/19/2019,03/11/2019,Merchants Market St. Croix LLC,Division of Human and Animal Food Operations East IV,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
03/19/2019,03/18/2019,Sientra Inc,Center for Devices and Radiological Health,Premarket Approval/Adulterated,Warning Letter
03/19/2019,03/18/2019,Mentor Worldwide LLC & Acclarent,Center for Devices and Radiological Health,Premarket Approval/Adulterated,Warning Letter
03/12/2019,11/06/2018,Ruben's Inc.,Center for Food Safety and Applied Nutrition,"CGMP Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",Warning Letter
03/12/2019,01/30/2019,Phi Sciences,Center for Drug Evaluation and Research,Unapproved New Drugs/Misbranded,Warning Letter
03/12/2019,02/22/2019,Make Webo AB,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
03/12/2019,02/25/2019,Laboratorios Quantium LLC,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
03/12/2019,03/04/2019,Hospira Healthcare India Pvt. Ltd.,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
03/12/2019,03/08/2019,Rablon,,Unapproved New Drugs/Misbranded,Warning Letter
03/12/2019,03/08/2019,Aidaccess.org,Center for Drug Evaluation and Research,Unapproved New Drugs/Misbranded,Warning Letter
03/05/2019,02/25/2019,Vilvet Pharmaceutical,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
03/05/2019,01/30/2019,"New Era Naturals, LLC",Los Angeles District Office,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
03/05/2019,01/31/2019,"Green Water, LLC",Denver District Office,Unapproved New Drugs/Misbranded,Warning Letter
03/05/2019,02/01/2019,"Actavis Laboratories FL, Inc.",Dallas District Office,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
03/05/2019,02/19/2019,Sunnyside Orchard,Minneapolis District Office,Juice HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
03/05/2019,02/28/2019,"Andapharm, LLC",Dallas District Office,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
03/04/2019,02/26/2019,The-Vape-Place LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
03/04/2019,02/26/2019,VapeSourcing,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
03/04/2019,02/26/2019,RYOSupply.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
03/04/2019,02/26/2019,The Sabagh Group LLC d/b/a LighterUSA.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
02/28/2019,02/26/2019,CanaRx Services Inc,Center for Drug Evaluation and Research,Unapproved New Drugs/Misbranded,Warning Letter
02/26/2019,02/06/2019,Shadow Holdings DBA Bocchi Labs,Los Angeles District Office,Cosmetics/Adulterated,Warning Letter
02/26/2019,02/12/2019,Gravel Ridge Farms,Cincinnati District Office,PHS Act/Shell Egg Regulation/Adulterated,Warning Letter
02/26/2019,02/12/2019,Walnut Ridge Farm 1,Center for Food Safety and Applied Nutrition,PHS Act/Shell Egg Regulation/Adulterated,Warning Letter
02/26/2019,02/13/2019,Proandre SL,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
02/26/2019,02/20/2019,Pure Source LLC,Dallas District Office,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
02/25/2019,02/22/2019,"Total Thermal Imaging, Inc.",Center for Devices and Radiological Health,Medical Device Reporting/Misbranded,Warning Letter
02/19/2019,01/29/2019,"Hangzhou SunKing Nonwovens Co., Ltd.",Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
02/19/2019,01/29/2019,Vipor Chemicals Private Ltd.,Center for Drug Evaluation and Research,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,Warning Letter
02/19/2019,02/06/2019,Datascope Corp.,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
02/19/2019,02/11/2019,United Pharmacy,Dallas District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
02/19/2019,02/11/2019,"Bella Pharmaceuticals, Inc.",Detroit District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
02/19/2019,02/12/2019,American Preclinical Services,Center for Devices and Radiological Health,Good Laboratory Practice (GLP) for Nonclinical Laboratory Studies,Warning Letter
02/14/2019,02/13/2019,"Mark Berman, M.D.",Los Angeles District Office,Medical Device/Adulterated/Misbranded/Lacks PMA and/or 510(k),Warning Letter
02/13/2019,10/17/2018,Ocular Therapeutix Inc.,Center for Devices and Radiological Health,"Ocular Therapeutix Inc., Premarket Approval/Misbranded/Adulterated",Warning Letter
02/12/2019,12/13/2018,"Samson Pharmaceuticals, Inc",Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
02/12/2019,01/10/2019,"Vitalab Pharmacy, Inc.",Center for Drug Evaluation and Research,Drug Product/Adulterated,Warning Letter
02/12/2019,02/01/2019,Panther James LLC.,Center for Food Safety and Applied Nutrition,Juice HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
02/12/2019,02/07/2019,McKesson Corporation Headquarters 2/7/19,Division of Pharmaceutical Quality Operations IV,"McKesson Corporation Headquarters, Drug Product/Adulterated",Warning Letter
02/12/2019,01/28/2019,"Circulatory Technology, Inc.",New England District Office,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
02/12/2019,01/31/2019,"LC Medical Concepts, Inc",New England District Office,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
02/12/2019,02/04/2019,"Akorn, Inc.",Detroit District Office,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
02/12/2019,02/05/2019,"Triad Rx, Inc",Division of Pharmaceutical Quality Operations II,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
02/11/2019,02/05/2019,Emmbros Overseas Lifestyle PVT LTD.,Center for Food Safety and Applied Nutrition,New Drug/Labeling/Misbranded,Warning Letter
02/11/2019,02/05/2019,Capris Associates Inc. / BR Naturals,Center for Food Safety and Applied Nutrition,New Drug/Labeling/Misbranded,Warning Letter
02/11/2019,02/05/2019,"Sovereign Laboratories, LLC",Center for Food Safety and Applied Nutrition,New Drug/Labeling/Misbranded,Warning Letter
02/11/2019,02/05/2019,John Gray’s Mars Venus LLC,Center for Food Safety and Applied Nutrition,New Drug/Labeling/Misbranded,Warning Letter
02/11/2019,02/05/2019,Gold Crown Natural Products,Center for Food Safety and Applied Nutrition,New Drug/Labeling/Misbranded,Warning Letter
02/11/2019,02/05/2019,DK Vitamins,Center for Food Safety and Applied Nutrition,New Drug/Labeling/Misbranded,Warning Letter
02/11/2019,02/05/2019,Nutrition Coalition Inc,Center for Food Safety and Applied Nutrition,New Drug/Labeling/Misbranded,Warning Letter
02/11/2019,02/05/2019,"Earth Turns, LLC",Center for Food Safety and Applied Nutrition,New Drug/Labeling/Misbranded,Warning Letter
02/11/2019,02/05/2019,"Pure Nootropics, LLC",Center for Food Safety and Applied Nutrition,New Drug/Labeling/Misbranded,Warning Letter
02/11/2019,02/05/2019,Blue Ridge Silver,Center for Food Safety and Applied Nutrition,New Drug/Labeling/Misbranded,Warning Letter
02/11/2019,02/05/2019,TEK Naturals,Center for Food Safety and Applied Nutrition,New Drug/Labeling/Misbranded,Warning Letter
02/11/2019,02/05/2019,Peak Nootropics LLC aka Advanced Nootropics,Center for Food Safety and Applied Nutrition,New Drug/Labeling/Misbranded,Warning Letter
02/05/2019,09/26/2018,Vapor Krew,Center for Tobacco Products,"Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded, Vapor Krew",Warning Letter
02/05/2019,12/14/2018,Longbow First Aid Products Manufactory,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
02/05/2019,08/30/2018,Valencia Clouds,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
02/05/2019,09/21/2018,Vapes & Papes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
02/05/2019,09/26/2018,Ejuices For Less,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
02/05/2019,09/26/2018,Select Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
02/05/2019,11/27/2018,"Hangzhou Zhongbo Industrial Co., Ltd.",Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
02/05/2019,11/30/2018,"Mountain Vapor, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
02/05/2019,11/30/2018,Vapor House LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
02/05/2019,01/08/2019,Lymol Medical Corp,Center for Drug Evaluation and Research,Postmarket Requirements (PMRs),Warning Letter
