Letter Issue Date,Company Name,Issuing Office,Regulated Product,Subject,Letter Type
4/5/2019,"Nationwide Laboratories, LLC",Division of Pharmaceutical Quality Operations I,,,Warning Letter
4/4/2019,Inova Genomics Laboratory,Center for Devices and Radiological Health,,,Warning Letter
4/4/2019,Luen Fook Medicine Sdn. Bhd.,Center for Drug Evaluation and Research,,,Warning Letter
4/3/2019,"Texas Aloe Corporation, Inc.",Division of Human and Animal Food Operations West III,,,Warning Letter
4/2/2019,EZ Fumes,,,,Warning Letter
4/2/2019,Kerry Inc.,,Seafood/Seafood Product,,Warning Letter
4/2/2019,Undisputed Worldwide,Center for Tobacco Products,,,Warning Letter
4/2/2019,Kilo E-Liquids Inc. d/b/a Kilo Distribution,Center for Tobacco Products,,,Warning Letter
4/2/2019,E Cigarette Empire LLC,Center for Tobacco Products,,,Warning Letter
3/29/2019,Lotus Vaping Technology LLC,,,,Warning Letter
3/29/2019,https://www.vapevandal.com,Center for Tobacco Products,,,Warning Letter
3/29/2019,"Cord for Life, Inc.",Division of Biological Products Operations I,,,Warning Letter
3/28/2019,"Advanced Spine and Pain, LLC",,,,Warning Letter
3/28/2019,Nutra Pure LLC,,,,Warning Letter
3/28/2019,"PotNetwork Holdings, Inc.",Center for Food Safety and Applied Nutrition,,,Warning Letter
3/28/2019,RIJ Pharmaceutical LLC,Division of Pharmaceutical Quality Operations I,,,Warning Letter
3/27/2019,Thedonrx.net,,,,Warning Letter
3/27/2019,Azmedicinalshop.com,,,,Warning Letter
3/27/2019,Catnip Cocktail,,,,Warning Letter
3/26/2019,"Winder Laboratories, LLC",Division of Pharmaceutical Quality Operations II,,,Warning Letter
3/26/2019,"ImprimisRx CA, Inc., dba ImprimisRx",Division of Pharmaceutical Quality Operations IV,,,Warning Letter
3/21/2019,B. Jain Pharmaceuticals Private Limited,Center for Drug Evaluation and Research,,,Warning Letter
3/20/2019,Firsttrustchemicals.com,,,,Warning Letter
3/20/2019,Red Mountain Inc,Division of Pharmaceutical Quality Operations II,,,Warning Letter
3/20/2019,King Bio Inc.,Division of Pharmaceutical Quality Operations II,,,Warning Letter
3/20/2019,"Infusion Partners, LLC",Division of Pharmaceutical Quality Operations III,,,Warning Letter
3/20/2019,Apollo Care,Division of Pharmaceutical Quality Operations III,,,Warning Letter
3/20/2019,Tec Laboratories Inc,Division of Pharmaceutical Quality Operations IV,,,Warning Letter
3/19/2019,IMedDo,Division of Human and Animal Food Operations East III,,,Warning Letter
3/18/2019,Sientra Inc,Center for Devices and Radiological Health,Premarket Approval (PMA),,Warning Letter
3/18/2019,Mentor Worldwide LLC & Acclarent,Center for Devices and Radiological Health,Premarket Approval (PMA),,Warning Letter
3/18/2019,"Dong Yuan Technology Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
3/15/2019,D’Andrea Foods Inc.,Division of Human and Animal Food Operations East I,Seafood/Seafood Product,,Warning Letter
3/14/2019,"Marukyo Co., Ltd.",Center for Food Safety and Applied Nutrition,,,Warning Letter
3/14/2019,Pharmasol Corporation,Division of Pharmaceutical Quality Operations I,,,Warning Letter
3/14/2019,"Mariposa Labs, LLC",Division of Pharmaceutical Quality Operations IV,,,Warning Letter
3/13/2019,One Way Drug LLC dba Partell Specialty Pharmacy,Division of Pharmaceutical Quality Operations IV,,,Warning Letter
3/12/2019,"Uustar Corporation dba Daily Vita, LLC",Division of Human and Animal Food Operations East III,,,Warning Letter
3/11/2019,Nutra Pharma,Center for Drug Evaluation and Research,,,Warning Letter
3/11/2019,Merchants Market St. Croix LLC,Division of Human and Animal Food Operations East IV,Seafood/Seafood Product,,Warning Letter
3/8/2019,Rablon,,,,Warning Letter
3/8/2019,Aidaccess.org,Center for Drug Evaluation and Research,,,Warning Letter
3/8/2019,"Campolor, Inc.",Center for Food Safety and Applied Nutrition,,,Warning Letter
3/7/2019,"Flea Assassin, LLC",Division of Pharmaceutical Quality Operations II,,,Warning Letter
3/6/2019,United Exchange Corporation,,,,Warning Letter
3/6/2019,"TEI Biosciences, Inc.",Center for Devices and Radiological Health,,,Warning Letter
3/6/2019,Jubilant Generics Limited,Center for Drug Evaluation and Research,,,Warning Letter
3/6/2019,Blacksmith ELiquid,Center for Tobacco Products,E-cigarettes,,Warning Letter
3/6/2019,Holy Cow Ejuice,Center for Tobacco Products,,,Warning Letter
3/6/2019,Indy E Cigs LLC,Center for Tobacco Products,,,Warning Letter
3/6/2019,Cosmos Indian Store,Center for Tobacco Products,,,Warning Letter
3/6/2019,Camelot E-Liquid,Center for Tobacco Products,,,Warning Letter
3/6/2019,"Thibiant International, Inc.",Division of Pharmaceutical Quality Operations IV,,,Warning Letter
3/5/2019,Hanna's Herb Shop,Center for Food Safety and Applied Nutrition,,,Warning Letter
3/4/2019,Hospira Healthcare India Pvt. Ltd.,Center for Drug Evaluation and Research,,,Warning Letter
3/4/2019,Stash E-Liquids,Center for Tobacco Products,,,Warning Letter
3/4/2019,"Alpha Feed Mill, Inc",Division of Human and Animal Food Operations East V,Animal Feed,,Warning Letter
3/1/2019,Pescaderia Catano,Center for Food Safety and Applied Nutrition,Fish,,Warning Letter
2/28/2019,Anicare Pharmaceuticals Pvt Ltd.,Center for Drug Evaluation and Research,,,Warning Letter
2/28/2019,"La Vita Compounding Pharmacy, LLC",Division of Pharmaceutical Quality Operations IV,,,Warning Letter
2/28/2019,"Andapharm, LLC",Dallas District Office,,,Warning Letter
2/26/2019,CanaRx Services Inc,Center for Drug Evaluation and Research,,,Warning Letter
2/26/2019,The-Vape-Place LLC,Center for Tobacco Products,,,Warning Letter
2/26/2019,VapeSourcing,Center for Tobacco Products,,,Warning Letter
2/26/2019,RYOSupply.com,Center for Tobacco Products,,,Warning Letter
2/26/2019,The Sabagh Group LLC d/b/a LighterUSA.com,Center for Tobacco Products,,,Warning Letter
2/25/2019,Laboratorios Quantium LLC,Center for Drug Evaluation and Research,,,Warning Letter
2/25/2019,Vilvet Pharmaceutical,Center for Drug Evaluation and Research,,,Warning Letter
2/22/2019,"Total Thermal Imaging, Inc.",Center for Devices and Radiological Health,,,Warning Letter
2/22/2019,Make Webo AB,Center for Tobacco Products,,,Warning Letter
2/21/2019,Inopak Ltd,Division of Pharmaceutical Quality Operations I,,,Warning Letter
2/20/2019,Pure Source LLC,Dallas District Office,,,Warning Letter
2/19/2019,Sunnyside Orchard,Minneapolis District Office,Juice,,Warning Letter
2/13/2019,Proandre SL,Center for Drug Evaluation and Research,,,Warning Letter
2/13/2019,"Mark Berman, M.D.",Los Angeles District Office,,,Warning Letter
2/12/2019,Gravel Ridge Farms,Cincinnati District Office,Egg/Egg Product,,Warning Letter
2/12/2019,Walnut Ridge Farm 1,Center for Food Safety and Applied Nutrition,Egg/Egg Product,,Warning Letter
2/12/2019,American Preclinical Services,Center for Devices and Radiological Health,,,Warning Letter
2/11/2019,United Pharmacy,Dallas District Office,,,Warning Letter
2/11/2019,"Bella Pharmaceuticals, Inc.",Detroit District Office,,,Warning Letter
2/7/2019,McKesson Corporation Headquarters 2/7/19,Division of Pharmaceutical Quality Operations IV,,,Warning Letter
2/6/2019,Shadow Holdings DBA Bocchi Labs,Los Angeles District Office,,,Warning Letter
2/6/2019,Datascope Corp.,Center for Devices and Radiological Health,,,Warning Letter
2/5/2019,LaMarquise Inc.,Division of Human and Animal Food Operations East V,Current Good Manufacturing Practices (CGMP),,Warning Letter
2/5/2019,Emmbros Overseas Lifestyle PVT LTD.,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2019,Capris Associates Inc. / BR Naturals,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2019,"Sovereign Laboratories, LLC",Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2019,John Gray’s Mars Venus LLC,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2019,Gold Crown Natural Products,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2019,DK Vitamins,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2019,Nutrition Coalition Inc,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2019,"Earth Turns, LLC",Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2019,"Pure Nootropics, LLC",Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2019,Blue Ridge Silver,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2019,TEK Naturals,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2019,Peak Nootropics LLC aka Advanced Nootropics,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2019,"Triad Rx, Inc",Division of Pharmaceutical Quality Operations II,,,Warning Letter
2/4/2019,"Akorn, Inc.",Detroit District Office,,,Warning Letter
2/1/2019,"Actavis Laboratories FL, Inc.",Dallas District Office,,,Warning Letter
2/1/2019,Panther James LLC.,Center for Food Safety and Applied Nutrition,,,Warning Letter
1/31/2019,Bimeda Incorporated,Center for Veterinary Medicine,,,Warning Letter
1/31/2019,"Green Water, LLC",Denver District Office,,,Warning Letter
1/31/2019,"LC Medical Concepts, Inc",New England District Office,,,Warning Letter
1/30/2019,Phi Sciences,Center for Drug Evaluation and Research,,,Warning Letter
1/30/2019,"New Era Naturals, LLC",Los Angeles District Office,,,Warning Letter
1/29/2019,"Hangzhou SunKing Nonwovens Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
1/29/2019,Vipor Chemicals Private Ltd.,Center for Drug Evaluation and Research,,,Warning Letter
1/28/2019,"Circulatory Technology, Inc.",New England District Office,,,Warning Letter
1/10/2019,"Vitalab Pharmacy, Inc.",Center for Drug Evaluation and Research,,,Warning Letter
1/8/2019,Lymol Medical Corp,Center for Drug Evaluation and Research,,,Warning Letter
12/14/2018,Longbow First Aid Products Manufactory,Center for Drug Evaluation and Research,,,Warning Letter
12/14/2018,"Hangzhou Guoguang Touring Commodity Co.,Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
12/13/2018,"Samson Pharmaceuticals, Inc",Center for Drug Evaluation and Research,,,Warning Letter
12/13/2018,Soleo,Center for Drug Evaluation and Research,,,Warning Letter
12/3/2018,Skylark CMC Pvt. Ltd.,Center for Drug Evaluation and Research,,,Warning Letter
12/3/2018,University of Miami Reproductive and Fertility Center,Center for Biologics Evaluation and Research,,,Warning Letter
11/30/2018,"Cao Medical Equipment Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
11/30/2018,"Hybrid Pharma, LLC","Office of Pharmaceutical Quality Operations, Division II",,,Warning Letter
11/30/2018,"Mountain Vapor, LLC",Center for Tobacco Products,,,Warning Letter
11/30/2018,Vapor House LLC,Center for Tobacco Products,,,Warning Letter
11/30/2018,Aladin Shisha,Center for Tobacco Products,,,Warning Letter
11/29/2018,"Genetech, Inc.",Center for Biologics Evaluation and Research,,,Warning Letter
11/29/2018,"Gonzalez and Nietos, LLC",San Juan District Office,,,Warning Letter
11/29/2018,Zhejiang Huahai Pharmaceutical,Center for Drug Evaluation and Research,,,Warning Letter
11/29/2018,"Electric Lotus, LLC",Center for Tobacco Products,,,Warning Letter
11/28/2018,"Barox Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
11/27/2018,Welter Farms Inc,Center for Veterinary Medicine,,,Warning Letter
11/27/2018,"Hangzhou Zhongbo Industrial Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
11/20/2018,Mibo Medical Group,San Francisco District Office,,,Warning Letter
11/19/2018,Jelliffe Dairy Farm,Baltimore District Office,Animal Feed,,Warning Letter
11/16/2018,Faro Ted Owiesy,Center for Drug Evaluation and Research,,,Warning Letter
11/15/2018,H & H Products Company,Center for Food Safety and Applied Nutrition,,,Warning Letter
11/9/2018,"Mylan Pharmaceuticals, Inc.",Center for Drug Evaluation and Research,,,Warning Letter
11/8/2018,Guardian Pet Products Inc,Center for Veterinary Medicine,,,Warning Letter
11/8/2018,Avalon Packaging,Denver District Office,Ingredients,,Warning Letter
11/7/2018,Jack B Goods Outlet Store,Center for Food Safety and Applied Nutrition,,,Warning Letter
11/7/2018,MA Labs LLC,Center for Food Safety and Applied Nutrition,,,Warning Letter
11/6/2018,Ruben's Inc.,Center for Food Safety and Applied Nutrition,Prepared Food,,Warning Letter
11/6/2018,Surmasis Pharmaceutical,Detroit District Office,,,Warning Letter
11/6/2018,American Contract Systems,New England District Office,,,Warning Letter
11/2/2018,"Product Packaging West, Inc.",San Francisco District Office,,,Warning Letter
10/31/2018,"StemGenex Biologic Laboratories, LLC",Office of Biological Products Operations – Division 2,,,Warning Letter
10/31/2018,"DynaPro International, Inc.",Denver District Office,,,Warning Letter
10/30/2018,"Nutreglo Products, LLC.","Office of Human and Animal Food Operations, Division IV East",,,Warning Letter
10/30/2018,American Botanical Pharmacy,San Francisco District Office,"Animal Devices, Animal Drugs, Antibiotic Resistance, Blood Products, Compounding, Deodorant, Face Paint, Gene Therapy, Generic Animal Drugs","Premarket, Public Awareness",Warning Letter
10/30/2018,Human Biologics of Texas/Globus Medical,Los Angeles District Office,,,Warning Letter
10/29/2018,I. Shay Cosmetics Inc,San Francisco District Office,,,Warning Letter
10/29/2018,"Netcos Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
10/29/2018,United Exchange Corporation,Center for Drug Evaluation and Research,,,Warning Letter
10/26/2018,Alle Processing Corp.,Center for Food Safety and Applied Nutrition,,,Warning Letter
10/26/2018,Cano Tobacco Inc.,Center for Tobacco Products,,,Warning Letter
10/26/2018,"LA Tobacco, Inc.",Center for Tobacco Products,,,Warning Letter
10/26/2018,EMSP LTD d/b/a My Shisha Pen,Center for Tobacco Products,,,Warning Letter
10/26/2018,"Specialty Tobacco, Inc",Center for Tobacco Products,,,Warning Letter
10/26/2018,Greenpark Compounding Pharmacy,Center for Drug Evaluation and Research,,,Warning Letter
10/22/2018,Vanda Pharmaceuticals,Center for Drug Evaluation and Research,,,Warning Letter
10/19/2018,"5 Spoke Creamery, LLC",Center for Food Safety and Applied Nutrition,,,Warning Letter
10/19/2018,Premier Produce LLC,Cincinnati District Office,Fruit/Fruit Product,,Warning Letter
10/19/2018,"Lakeview Dairy, LLC",Minneapolis District Office,"Animal Drugs, Beef/Beef Product, New Animal Drug Application (NADA)",,Warning Letter
10/19/2018,"Gold Star Distrbution., Inc.",Minneapolis District Office,Sanitation,,Warning Letter
10/18/2018,Custom RX LLC dba Custom Rx Pharmacy and Wellness Concepts,Detroit District Office,,,Warning Letter
10/17/2018,Ocular Therapeutix Inc.,Center for Devices and Radiological Health,,,Warning Letter
10/17/2018,"No More Fleas Please, Inc.",Dallas District Office,Animal Drugs,,Warning Letter
10/16/2018,Casa Pablo's Salsa LLC,Seattle District Office,Food & Color Additives,,Warning Letter
10/16/2018,Circle G Farm & Feed Lots Inc,Chicago District Office,"Animal Drugs, Unapproved Animal Drugs",,Warning Letter
10/11/2018,"HelloCig Electronic Technology Co., Ltd",Center for Tobacco Products,,,Warning Letter
10/11/2018,Break Time Vape,Center for Tobacco Products,,,Warning Letter
10/11/2018,US Vapor Deals,Center for Tobacco Products,,,Warning Letter
10/11/2018,E Z Vaporz,Center for Tobacco Products,,,Warning Letter
10/11/2018,"4 Bidden Fruits, LLC",Center for Tobacco Products,,,Warning Letter
10/11/2018,Vape International LLC,Center for Tobacco Products,,,Warning Letter
10/11/2018,Bamboo LLC,Atlanta District Office,"Beverage Bases/Conc/Nectar, HACCP, Juice, Sanitation",,Warning Letter
10/10/2018,"Original Living Coconut, LLC",Kansas City District Office,Ice Cream/Frozen Dairy,,Warning Letter
10/9/2018,Discount Pharmacy,,,,Warning Letter
10/9/2018,Farma Glow,,,,Warning Letter
10/9/2018,MyRxAffiliate Program,,,,Warning Letter
10/9/2018,RxAff,,,,Warning Letter
10/9/2018,Store Pills Network,,,,Warning Letter
10/9/2018,TeraPharm,,,,Warning Letter
10/9/2018,IceRx,Center for Drug Evaluation and Research,,,Warning Letter
10/5/2018,MannKind Corporation,Center for Drug Evaluation and Research,,,Warning Letter
10/5/2018,Farmers Ranchers Coop Assn,Kansas City District Office,,,Warning Letter
10/5/2018,Gilman Cooperative Creamery Association,Minneapolis District Office,Animal Feed,,Warning Letter
10/4/2018,"Jinher, Inc.",San Francisco District Office,Current Good Manufacturing Practices (CGMP),,Warning Letter
10/3/2018,"Hanlim Pharm Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
10/2/2018,Boule Medical AB,Center for Devices and Radiological Health,,,Warning Letter
10/1/2018,"Ignatius P. Godoy, M.D.",Center for Biologics Evaluation and Research,,,Warning Letter
9/27/2018,"Elwood International, Inc.",Office of Human and Animal Food Operations East – Division 1,,,Warning Letter
9/26/2018,Vapor Krew,Center for Tobacco Products,,,Warning Letter
9/26/2018,"120ml.co, LLC",Center for Tobacco Products,,,Warning Letter
9/26/2018,Clouds Vapors LLC,Center for Tobacco Products,,,Warning Letter
9/26/2018,E-Juice Corner,Center for Tobacco Products,,,Warning Letter
9/26/2018,Ejuices For Less,Center for Tobacco Products,,,Warning Letter
9/26/2018,Wise Guys Vapes,Center for Tobacco Products,,,Warning Letter
9/26/2018,Clean Vapor,Center for Tobacco Products,,,Warning Letter
9/26/2018,Select Vape,Center for Tobacco Products,,,Warning Letter
9/26/2018,Vapor and a Bottle,Center for Tobacco Products,,,Warning Letter
9/26/2018,"Vital Rx, Inc. dba Atlantic Pharmacy and Compounding",Dallas District Office,,,Warning Letter
9/24/2018,Auro Pharmacies Inc,San Francisco District Office,,,Warning Letter
9/21/2018,"Oakshire Trading Co, LLC",Center for Tobacco Products,,,Warning Letter
9/21/2018,Good Vibes Vapor,Center for Tobacco Products,,,Warning Letter
9/21/2018,East Coast Vape Distribution,Center for Tobacco Products,,,Warning Letter
9/21/2018,Vapes & Papes,Center for Tobacco Products,Cigarettes,,Warning Letter
9/21/2018,Apollo Future Tecnnology Inc.,Center for Tobacco Products,,,Warning Letter
9/21/2018,"Cardiomed Supplies, Inc.",Center for Devices and Radiological Health,,,Warning Letter
9/17/2018,"Rock Farm, LLC dba WholeFood Farmacy",Cincinnati District Office,Labeling,,Warning Letter
9/14/2018,Becton Dickinson Medical Systems,Division of Medical Device and Radiological Health Operations Central,,,Warning Letter
9/12/2018,Huntington Beach Vape Shop,Center for Tobacco Products,,,Warning Letter
9/12/2018,FireVapor.com,Center for Tobacco Products,,,Warning Letter
9/12/2018,Aspen Valley Vapes,Center for Tobacco Products,,,Warning Letter
9/12/2018,Vapefu LLC,Center for Tobacco Products,,,Warning Letter
9/12/2018,"Metro Vapors, LLC",Center for Tobacco Products,,,Warning Letter
9/12/2018,"Vapor Unlimited, LLC d/b/a Fogworks",Center for Tobacco Products,,,Warning Letter
9/12/2018,"E-Juice Vapor, Inc.",Center for Tobacco Products,,,Warning Letter
9/12/2018,TCA Vapor,Center for Tobacco Products,,,Warning Letter
9/12/2018,The Vapor Studio LLC,Center for Tobacco Products,,,Warning Letter
9/12/2018,Clouded Minds Vape Shoppe,Center for Tobacco Products,,,Warning Letter
9/12/2018,Smoke and Vape,Center for Tobacco Products,,,Warning Letter
9/11/2018,E Juice Forty,Center for Tobacco Products,,,Warning Letter
9/10/2018,"Atlas Pharmaceuticals, LLC",San Francisco District Office,,,Warning Letter
9/10/2018,Wilson Medicine Company,Center for Drug Evaluation and Research,Pharmaceutical Quality,,Warning Letter
9/7/2018,"The Delano Company, Inc. dba LifeLink",Los Angeles District Office,,,Warning Letter
9/7/2018,ITG-Medev Inc,San Francisco District Office,,,Warning Letter
9/7/2018,"Best Nutrition Products, Inc.",San Francisco District Office,,,Warning Letter
9/6/2018,Rose Acre Farms-Hyde County,Atlanta District Office,,,Warning Letter
9/6/2018,Adaptive Energy LLC,Center for Food Safety and Applied Nutrition,,,Warning Letter
9/5/2018,Leventon S. A. U.,Center for Devices and Radiological Health,,,Warning Letter
9/5/2018,Samuel Zimmerman,New York District Office,,,Warning Letter
9/5/2018,Jabones Y Productos Especializados SA de CV,Center for Drug Evaluation and Research,,,Warning Letter
9/4/2018,Environmental Trade Inc.,Office of Human and Animal Foods - Division III East,,,Warning Letter
9/4/2018,Chillin Mix Kratom,Center for Drug Evaluation and Research,,,Warning Letter
9/4/2018,Mitra Distributing Inc.,Center for Drug Evaluation and Research,,,Warning Letter
9/4/2018,Lernapharm (Loris) Inc.,Center for Drug Evaluation and Research,,,Warning Letter
9/4/2018,"Natural Sea Product Co., Ltd.",Center for Food Safety and Applied Nutrition,,,Warning Letter
8/31/2018,"Independent Nutrition, Inc.",Seattle District Office,,,Warning Letter
8/30/2018,Valencia Clouds,Center for Tobacco Products,,,Warning Letter
8/30/2018,"SN Holdings, Inc. d/b/a 80V eLiquid",Center for Tobacco Products,,,Warning Letter
8/30/2018,"West Coast Vape Supply, Inc",Center for Tobacco Products,,,Warning Letter
8/30/2018,Vapor Haus,Center for Tobacco Products,,,Warning Letter
8/30/2018,Elev8 Vape,Center for Tobacco Products,,,Warning Letter
8/30/2018,X2 Cigs,Center for Tobacco Products,,,Warning Letter
8/30/2018,Dew Drops Eliquid,Center for Tobacco Products,,,Warning Letter
8/30/2018,My Vape DNA,Center for Tobacco Products,,,Warning Letter
8/30/2018,Precision Vapor,Center for Tobacco Products,,,Warning Letter
8/30/2018,The Cigar Store Inc.,Center for Tobacco Products,,,Warning Letter
8/30/2018,Esmoker Canada Inc.,Center for Tobacco Products,,,Warning Letter
8/30/2018,Flavour House Vapes,Center for Tobacco Products,,,Warning Letter
8/30/2018,Kick Bass Vapor,Center for Tobacco Products,,,Warning Letter
8/30/2018,Cigar Standard,Center for Tobacco Products,,,Warning Letter
8/29/2018,"Fagron, Inc",Detroit District Office,,,Warning Letter
8/29/2018,"Pharmaceutical Laboratories and Consultants, Inc.",Detroit District Office,,,Warning Letter
8/29/2018,Dolezal Dairy,Kansas City District Office,,,Warning Letter
8/28/2018,"Celletech, Ltd",Minneapolis District Office,,,Warning Letter
8/27/2018,Longood Medicine (Beijing) Co Ltd,Center for Drug Evaluation and Research,,,Warning Letter
8/24/2018,Vireo Resources,Kansas City District Office,,,Warning Letter
8/24/2018,"Zimmer Biomet, Inc.",New England District Office,,,Warning Letter
8/23/2018,Medtronic Puerto Rico Operations Co.,Florida District Office,,,Warning Letter
8/20/2018,Tri-Coast Pharmacy,Dallas District Office,,,Warning Letter
8/16/2018,PharmacyAffiliates.org,Center for Drug Evaluation and Research,,,Warning Letter
8/16/2018,CoinRx,Center for Drug Evaluation and Research,,,Warning Letter
8/16/2018,PharmaMedics,Center for Drug Evaluation and Research,,,Warning Letter
8/16/2018,MedInc.biz,Center for Drug Evaluation and Research,,,Warning Letter
8/15/2018,Healthy Healing dba Crystal Star,Minneapolis District Office,,,Warning Letter
8/10/2018,"Maui Preserved, LLC",Division of Human and Animal Food Operations West V,,,Warning Letter
8/10/2018,"Kyowa Hakko Bio Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
8/9/2018,Apotex Research Private Limited,Center for Drug Evaluation and Research,,,Warning Letter
8/7/2018,"Paramesh Banerji Life Sciences, LLC",New Jersey District Office,,,Warning Letter
8/2/2018,Caviar Petrossian S.A.,Center for Food Safety and Applied Nutrition,Seafood/Seafood Product,,Warning Letter
8/1/2018,Bill Beauty and Health Products Ltd.,Center for Drug Evaluation and Research,,,Warning Letter
7/31/2018,"Signature Formulations, LLC",San Francisco District Office,,,Warning Letter
